"","country","year","WASTE (MT)","GNP (M EUR)"
"1","AT",2014,55868298,330418
"3","BE",2014,65573133,400805
"4","BG",2014,179598136,42762
"5","CY",2014,2050850,17567
"6","CZ",2014,23394956,156660
"7","DE",2014,387504241,2923930
"8","DK",2014,20081310,265232
"9","EE",2014,21804040,19758
"10","EL",2014,69758868,177941
"11","ES",2014,110952289,1037025
"12","FI",2014,95969888,205364
"13","FR",2014,327996799,2139964
"14","HR",2014,3728230,42978
"15","HU",2014,16650638,104953
"17","IT",2014,159107169,1620381
"19","LT",2014,6200450,36590
"20","LU",2014,7072888,49273
"21","LV",2014,2621495,23608
"22","ME",2014,1164024,3458
"23","MK",2014,2186612,8562
"24","MT",2014,1665004,8093
"25","NL",2014,134146120,663008
"26","NO",2014,11853657,375894
"27","PL",2014,179017514,410990
"28","PT",2014,14586917,173079
"30","RS",2014,49128310,33319
"31","SE",2014,167026886,432691
"32","SI",2014,4686417,37332
"33","SK",2014,8900607,75946
"35","UK",2014,251780106,2260805
"37","AT",2012,34047465,317117
"39","BE",2012,67630317,387500
"40","BG",2012,161252166,41947
"41","CY",2012,2086469,19467
"42","CZ",2012,23171358,161434
"43","DE",2012,368022172,2758260
"44","DK",2012,16332249,254578
"45","EE",2012,21992343,17935
"46","EL",2012,72328280,191204
"47","ES",2012,118561669,1039758
"48","FI",2012,91824193,199793
"49","FR",2012,344731922,2086929
"50","HR",2012,3378638,43934
"51","HU",2012,16310151,99086
"52","IE",2012,13421334,175754
"53","IT",2012,162764632,1613265
"55","LT",2012,5678751,33348
"56","LU",2012,8397228,43905
"57","LV",2012,2309581,22021
"58","ME",2012,385507,3182
"59","MK",2012,8472343,7585
"60","MT",2012,1452496,7209
"61","NL",2012,123612767,645164
"62","NO",2012,10720872,396678
"63","PL",2012,163377949,389369
"64","PT",2012,14184456,168398
"65","RO",2012,266975602,133511
"66","RS",2012,55002574,31683
"67","SE",2012,156306504,423341
"68","SI",2012,4546506,36002
"69","SK",2012,8425384,72704
"71","UK",2012,241100639,2065737
"72","XK",2012,1166619,5059
"73","AT",2010,34882606,294628
"75","BE",2010,62537180,365101
"76","BG",2010,167396268,38230
"77","CY",2010,2372750,19300
"78","CZ",2010,23757566,156370
"79","DE",2010,363544995,2580060
"80","DK",2010,16217736,243165
"81","EE",2010,19000195,14716
"82","EL",2010,70432705,226031
"83","ES",2010,137518902,1080913
"84","FI",2010,104336944,187100
"85","FR",2010,355081245,1998481
"86","HR",2010,3157672,45004
"87","HU",2010,16735423,98323
"88","IE",2010,19807586,167124
"89","IT",2010,158627618,1604514
"91","LT",2010,5578134,28028
"92","LU",2010,10441469,39947
"93","LV",2010,1498200,17789
"95","MK",2010,2327590,7108
"96","MT",2010,1352994,6600
"97","NL",2010,120384223,631512
"98","NO",2010,9432997,323587
"99","PL",2010,159457923,361804
"100","PT",2010,17312597,179930
"101","RO",2010,219309676,126746
"102","RS",2010,33615918,29766
"103","SE",2010,117645185,369077
"104","SI",2010,5986106,36252
"105","SK",2010,9384112,67577
"107","UK",2010,236568049,1833021
"109","AT",2008,56308766,291930
"111","BE",2008,48621916,354066
"112","BG",2008,167646316,37200
"113","CY",2008,1842781,19006
"114","CZ",2008,25419695,160962
"115","DE",2008,372796355,2561740
"116","DK",2008,15155208,241614
"117","EE",2008,19583855,16517
"118","EL",2008,68643963,241990
"119","ES",2008,149254157,1116207
"120","FI",2008,81792854,193711
"121","FR",2008,345002210,1995850
"122","HR",2008,4172152,48130
"123","HU",2008,16949197,107637
"124","IE",2008,22502816,187687
"125","IT",2008,179257461,1632151
"127","LT",2008,6333352,32696
"128","LU",2008,9592144,37647
"129","LV",2008,1495084,24355
"131","MK",2008,1362466,6772
"132","MT",2008,2070391,6129
"133","NL",2008,102648605,639163
"134","NO",2008,10286643,316814
"135","PL",2008,138984638,366182
"136","PT",2008,16882923,178873
"137","RO",2008,189138507,142396
"139","SE",2008,86168590,352317
"140","SI",2008,5038401,37951
"141","SK",2008,11472008,66003
"143","UK",2008,282222127,1964450
"145","AT",2006,54286603,266478
"147","BE",2006,59351721,326662
"148","BG",2006,162881368,27211
"149","CY",2006,1248723,16264
"150","CZ",2006,24745752,123743
"151","DE",2006,363786069,2393250
"152","DK",2006,14703138,225531
"153","EE",2006,18932903,13522
"154","EL",2006,51324662,217862
"155","ES",2006,160946629,1007974
"156","FI",2006,72205476,172614
"157","FR",2006,312297824,1853267
"158","HR",2006,5425973,40198
"159","HU",2006,22287476,91399
"160","IE",2006,29599175,185061
"161","IT",2006,155025054,1548473
"163","LT",2006,6361109,24079
"164","LU",2006,8378911,33409
"165","LV",2006,1858551,17264
"168","MT",2006,2861489,5386
"169","NL",2006,99166563,579212
"170","NO",2006,9913286,275290
"171","PL",2006,153628937,274602
"172","PT",2006,34952771,166249
"173","RO",2006,344356921,98419
"175","SE",2006,94971307,334876
"176","SI",2006,6035829,31561
"177","SK",2006,14501495,45530
"179","UK",2006,291147402,2135221
"181","AT",2004,53020950,241505
"183","BE",2004,52809345,298711
"184","BG",2004,201020467,20932
"185","CY",2004,2241520,13938
"186","CZ",2004,29275743,95878
"187","DE",2004,364021937,2270620
"188","DK",2004,12588952,202422
"189","EE",2004,20860680,9708
"190","EL",2004,33346962,193716
"191","ES",2004,160668134,861420
"192","FI",2004,69708476,158477
"193","FR",2004,296580889,1710760
"194","HR",2004,7208688,33464
"195","HU",2004,24660920,83540
"196","IE",2004,24499142,156144
"197","IT",2004,139806106,1448363
"199","LT",2004,7010178,18237
"200","LU",2004,8315766,27660
"201","LV",2004,1257225,11673
"204","MT",2004,3146062,4867
"205","NL",2004,92448121,523939
"206","NO",2004,7453565,212909
"207","PL",2004,137478449,206120
"208","PT",2004,29317295,152372
"209","RO",2004,369300408,61404
"211","SE",2004,91759469,307433
"212","SI",2004,5770505,27737
"213","SK",2004,10668411,34702
"215","UK",2004,298798846,1922721
